x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
4.87901272936202,4.39232233973334,3.1270199085161607,3.414697166964832,3.3775942177891918,4.469757434065694,4.124725540829189,4.1181645095636945,3.1744546695696982,4.267822602882712
4.39232233973334,4.878488042395228,3.131401780709682,3.8179729004602807,3.4309914743017833,4.36692590292663,4.123726389615364,3.587594242428893,3.363701638133075,3.7702814810013874
3.1270199085161607,3.131401780709682,3.3327217401252462,2.7664336328898407,2.291578814372042,3.4984418372568884,2.9452532324828264,2.5662844423937625,2.666249898251457,3.174239855303171
3.414697166964832,3.8179729004602807,2.7664336328898407,4.2704334284920655,2.9285875840811677,4.397997501391352,4.017533878357366,2.869911102699528,3.018303739669635,3.0573654806932447
3.3775942177891918,3.4309914743017833,2.291578814372042,2.9285875840811677,3.445171726139529,3.5800665926293,3.6153406898618496,2.535353228789849,2.5037712717695833,2.587927294608078
4.469757434065694,4.36692590292663,3.4984418372568884,4.397997501391352,3.5800665926293,5.231505404178185,4.575010114059328,3.736577947132177,3.5400740515779954,3.9229369816450608
4.124725540829189,4.123726389615364,2.9452532324828264,4.017533878357366,3.6153406898618496,4.575010114059328,4.503897548537274,3.5296571189554835,3.22708977820626,3.352366602537969
4.1181645095636945,3.587594242428893,2.5662844423937625,2.869911102699528,2.535353228789849,3.736577947132177,3.5296571189554835,4.508113485230024,2.7066045103214154,3.8172901627482627
3.1744546695696982,3.363701638133075,2.666249898251457,3.018303739669635,2.5037712717695833,3.5400740515779954,3.22708977820626,2.7066045103214154,2.9238964080339103,2.6671328810133694
4.267822602882712,3.7702814810013874,3.174239855303171,3.0573654806932447,2.587927294608078,3.9229369816450608,3.352366602537969,3.8172901627482627,2.6671328810133694,4.57605122649865
